,maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,diferencaPercentualRisco,percentualRisco,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,Risco_Baixo,Risco_Medio,Risco_Muito Baixo,cluster
0,0,0.252448306,0,0.0,0.7169811320754716,0.2830188679245283,1766880,0,12,0,2003,90000,1,1,0,0,0
1,0,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
2,4,0.6247772648,0,0.0,0.7169811320754716,0.2830188679245283,2814940,0,7,0,2014,20000,1,1,0,0,0
3,20,0.0,0,0.0,0.3962264150943396,0.6037735849056604,1285274,0,12,0,2013,30000,0,0,0,0,3
4,20,0.4540878993,20,1486.95,0.8301886792452831,0.1698113207547169,40779757,81459809,9,40680051,2002,75000,1,1,0,0,0
5,0,0.0,0,0.0,0.6226415094339622,0.3773584905660377,918476,0,12,0,2011,15000,0,0,1,0,3
6,16,0.0,0,0.0,0.5849056603773584,0.4150943396226415,239016696,-7540544,12,156394112,1982,30515674,0,0,1,0,3
7,4,0.3501754325,102,208980.0,0.9433962264150944,0.0566037735849056,11958227,9357949,9,0,2000,120000,1,0,0,1,1
8,43,0.2458177861,27,6432.0,0.8867924528301886,0.1132075471698113,72479551,6233236,12,-49267738,2000,1000000,1,1,0,0,0
9,24,1.2085799999999999e-05,0,22733.33,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
10,7,0.0,0,0.0,0.6037735849056604,0.3962264150943396,4575646,296634,6,-3299332,2011,20000,0,0,1,0,3
11,26,0.0,0,0.0,0.5849056603773584,0.4150943396226415,13871246,-772398,12,-9455401,2009,600000,0,0,1,0,3
12,3,0.0,0,0.0,0.5094339622641509,0.490566037735849,0,0,1,0,2017,100000,0,0,1,0,3
13,52,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
14,4,0.3145752451,0,0.0,0.7924528301886792,0.2075471698113207,36783195,-312950,12,-25744597,1990,530000,1,1,0,0,0
15,28,0.0,0,0.0,0.6037735849056604,0.3962264150943396,538430217,10266414,12,-346633805,1999,100000,0,0,1,0,3
16,19,0.0,0,0.0,0.6226415094339622,0.3773584905660377,538430217,10216020,12,-346633805,1992,2000000,0,0,1,0,3
17,2,0.3078937009,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
18,4,0.0,0,0.0,0.6981132075471698,0.3018867924528301,538430217,10216020,12,-346633805,1992,2000000,0,1,0,0,0
19,5,0.39411837590000004,0,0.0,0.8867924528301886,0.1132075471698113,57950454,18419747,12,39530707,1994,4500000,0,1,0,0,0
20,40,0.458051889,0,12882.35,0.5660377358490566,0.4339622641509433,2915470,1034268,12,-852138,2009,150000,1,0,1,0,3
21,60,0.3757811558,1,2400.02,0.4716981132075471,0.5283018867924528,1976986,339799,12,832480,2008,50000,0,0,0,0,3
22,18,0.6915,0,0.0,0.6792452830188679,0.320754716981132,9077423,1182617,12,-6807767,2009,900000,0,0,1,0,3
23,35,0.3104742762,25,46949.3,0.5660377358490566,0.4339622641509433,282662079,52217624,6,258298725,1996,96791092,0,0,1,0,3
24,6,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
25,14,0.2860282532,0,0.0,0.7358490566037735,0.2641509433962264,30348455,0,12,0,2006,1000000,1,1,0,0,0
26,23,0.5536921381000001,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
27,0,0.0,0,0.0,0.5660377358490566,0.4339622641509433,47730,0,12,0,2008,72400,0,0,1,0,3
28,4,0.4412714583,0,0.0,0.7358490566037735,0.2641509433962264,23161787,5752085,12,14712042,2014,150000,1,1,0,0,0
29,11,0.5357123203,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
30,0,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
31,9,0.5932736371,31,5549.21,0.6037735849056604,0.3962264150943396,1011836,-55361,12,-645988,2003,88000,1,0,1,0,3
32,0,0.3363405629,0,0.0,0.6037735849056604,0.3962264150943396,480000,0,12,0,1997,5000,1,0,1,0,3
33,807,0.0,0,0.0,0.3962264150943396,0.6037735849056604,0,0,1,0,1992,1400000,0,0,0,0,3
34,13,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
35,0,0.4737096339,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
36,135,0.387283882,0,0.0,0.5094339622641509,0.490566037735849,1421389,1387232,12,2554508,2012,100000,1,0,1,0,3
37,3,0.4576666993,0,0.0,0.7169811320754716,0.2830188679245283,3359403,0,12,0,2008,78800,1,1,0,0,0
38,4,0.5318418028999999,0,0.0,0.7358490566037735,0.2641509433962264,2316989,0,12,0,2010,99800,1,1,0,0,0
39,17,0.0,0,0.0,0.3396226415094339,0.660377358490566,102444,0,7,0,2016,95400,0,0,0,0,3
40,3,0.0,0,0.0,0.8490566037735849,0.150943396226415,5159452,0,6,0,1992,200000,0,1,0,0,0
41,0,0.43273421240000004,0,0.0,0.490566037735849,0.5094339622641509,172560,0,12,0,2019,5000,1,0,1,0,3
42,2,0.0,0,0.0,0.7169811320754716,0.2830188679245283,624350,-3319,12,-431401,2008,40000,0,1,0,0,0
43,0,0.3589796807,0,0.0,0.8301886792452831,0.1698113207547169,47595914,0,12,0,2006,550000,1,1,0,0,0
44,2,0.0,0,0.0,0.5094339622641509,0.490566037735849,756924,0,12,0,1994,30000,0,0,1,0,3
45,43,0.3700701446,0,2480.0,0.6792452830188679,0.320754716981132,2179468,0,12,0,2005,60000,1,0,1,0,3
46,10,0.3908721543,0,0.0,0.4528301886792452,0.5471698113207547,1019546,0,12,0,2000,10000,1,0,0,0,3
47,3,0.43539221009999995,0,0.0,0.5094339622641509,0.490566037735849,311260,0,12,0,2017,10000,1,0,1,0,3
48,3,0.3533614354,0,0.0,0.6981132075471698,0.3018867924528301,438103964,2916036,12,-27592668,2008,600000,1,1,0,0,0
49,0,0.0,0,0.0,0.6226415094339622,0.3773584905660377,0,0,1,0,2008,100000,0,0,1,0,3
50,6,0.3720908912,0,0.0,0.5283018867924528,0.4716981132075471,43810396,0,12,0,2008,600000,1,0,1,0,3
51,3,0.4186828305,0,3591.24,0.7358490566037735,0.2641509433962264,3101081,0,12,0,1998,60000,0,1,0,0,0
52,2,0.5607103857,55,5400.0,0.6037735849056604,0.3962264150943396,6230653,0,12,0,2015,300000,1,0,1,0,3
53,18,0.448130494,21,2192.0,0.7358490566037735,0.2641509433962264,333210,0,1,0,2012,800000,1,1,0,0,0
54,20,0.0,0,0.0,0.4528301886792452,0.5471698113207547,1285274,0,12,0,2013,30000,0,0,0,0,3
55,4,0.4752585847,0,0.0,0.7735849056603773,0.2264150943396226,117090514,499790,12,-7231554,2011,100000,1,1,0,0,0
56,3,0.4227695299,12,2916.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
57,6,0.0,0,0.0,0.6226415094339622,0.3773584905660377,2876710,0,12,0,1999,30303,0,0,1,0,3
58,18,0.2911279282,67,100850.04,0.4716981132075471,0.5283018867924528,8983936,0,12,0,2006,95400,0,0,0,0,3
